clusterId,conceptName,requiredIngredient,identity,family,state,selectedProductId,quantity,unit,reason
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Куриный фарш","Куриный фарш","","PRODUCT_CATALOG_GAP","","500","G","no accepted compatible product remains after explicit evidence"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Манная крупа","Манная крупа","semolina_dry","EXACT_PRODUCT_ALREADY_RESOLVED","semolina_dry","3","STOL_L","accepted resolver supplied concrete product with nutrition authority"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Лук","Лук","","PRODUCT_SELECTION_PENDING","","1","SHT","multiple semantically valid products remain; no arbitrary variant is selected"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Зелень","зелень","зелень","PRODUCT_CATALOG_GAP","","2","","no accepted compatible product remains after explicit evidence"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Яйцо","яйцо","яйцо","PRODUCT_SELECTION_PENDING","","1","SHT","multiple semantically valid products remain; no arbitrary variant is selected"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Горчица","Горчица","mustard_ready","EXACT_PRODUCT_ALREADY_RESOLVED","mustard_ready","1","STOL_L","accepted resolver supplied concrete product with nutrition authority"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Сливочное масло","Сливочное масло","butter","EXACT_PRODUCT_ALREADY_RESOLVED","butter","30","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Мука","мука","мука","CANONICAL_FAMILY_DEFAULT_SELECTED","wheat_flour","","","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Растительное масло","растительное масло","растительное масло","CANONICAL_FAMILY_DEFAULT_SELECTED","sunflower_oil","","","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Куриное филе","Куриное филе","chicken_breast_raw","EXACT_PRODUCT_ALREADY_RESOLVED","chicken_breast_raw","600","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Шампиньоны","Шампиньоны","mushroom_champignon_raw","EXACT_PRODUCT_ALREADY_RESOLVED","mushroom_champignon_raw","300","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","Сметана","сметана","сметана","CANONICAL_FAMILY_DEFAULT_SELECTED","sour_cream_15pct","400","G","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
